epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,480.279,1.32839,1.65481,1.25777,0.94549,0.89293,0.93863,0.56588,1.38752,0.74804,1.28921,0.000666091,0.000666091,0.000666091
2,943.663,1.30914,1.05719,1.24838,0.96677,0.90134,0.93845,0.61665,1.23216,0.73469,1.22689,0.00126679,0.00126679,0.00126679
3,1401.72,1.29092,1.02327,1.22988,0.94763,0.91451,0.94091,0.62354,1.22642,0.66563,1.2188,0.00180148,0.00180148,0.00180148
4,1860.5,1.25506,0.97305,1.20721,0.9756,0.93446,0.96525,0.65818,1.1715,0.63243,1.1794,0.001703,0.001703,0.001703
5,2326.47,1.22956,0.93152,1.19137,0.97355,0.93804,0.96491,0.65273,1.18051,0.58389,1.17763,0.001604,0.001604,0.001604
6,2786.62,1.20746,0.90186,1.1814,0.98059,0.93478,0.96838,0.66823,1.15874,0.56464,1.16424,0.001505,0.001505,0.001505
7,3246.69,1.18638,0.88405,1.16637,0.96627,0.93403,0.96922,0.65942,1.14175,0.57781,1.16639,0.001406,0.001406,0.001406
8,3707.6,1.1779,0.87284,1.16224,0.97915,0.95,0.97466,0.67237,1.12946,0.53251,1.14756,0.001307,0.001307,0.001307
9,4161.57,1.17529,0.86023,1.16148,0.98472,0.94565,0.97382,0.6831,1.11587,0.53017,1.13819,0.001208,0.001208,0.001208
10,4617.37,1.15324,0.83683,1.1462,0.98167,0.94946,0.97386,0.68153,1.11318,0.53155,1.14031,0.001109,0.001109,0.001109
11,5045.18,1.11776,0.77512,1.18042,0.98702,0.95069,0.97875,0.69523,1.10584,0.53052,1.13493,0.00101,0.00101,0.00101
12,5466.7,1.10055,0.76039,1.17123,0.98212,0.94891,0.97792,0.69137,1.08903,0.52582,1.12488,0.000911,0.000911,0.000911
13,5892.24,1.08987,0.74681,1.16204,0.98192,0.95109,0.98192,0.70624,1.08897,0.47323,1.12212,0.000812,0.000812,0.000812
14,6315.67,1.08158,0.73795,1.15517,0.98438,0.95872,0.98046,0.70019,1.09224,0.50613,1.12327,0.000713,0.000713,0.000713
15,6739.28,1.06949,0.72813,1.14916,0.98809,0.95761,0.98229,0.70454,1.08585,0.48613,1.11961,0.000614,0.000614,0.000614
16,7165.63,1.0572,0.71873,1.13599,0.98401,0.95598,0.98309,0.70908,1.07434,0.47704,1.11275,0.000515,0.000515,0.000515
17,7593.24,1.0483,0.70899,1.13221,0.98408,0.96141,0.98393,0.7082,1.0757,0.45639,1.11196,0.000416,0.000416,0.000416
18,8031.7,1.03952,0.69238,1.12497,0.98381,0.95763,0.98417,0.70719,1.07449,0.45966,1.10789,0.000317,0.000317,0.000317
19,8463.29,1.03097,0.6897,1.11677,0.9822,0.95947,0.98385,0.71091,1.07339,0.44834,1.10646,0.000218,0.000218,0.000218
20,8888.23,1.02202,0.67972,1.11384,0.98549,0.95761,0.98461,0.71399,1.06914,0.44975,1.10527,0.000119,0.000119,0.000119
